type,img,name,link,,,
billionaire,https://learn-awesome.github.io/assets/people/Mark_Zuckerberg.png,Mark Zuckerberg,mark-zuckerberg-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Ray_Dalio.png,Ray Dalio,ray-dalio-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Vinod_Khosla.png,Vinod Khosla,vinod-khosla-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Brian_Armstrong.png,Brian Armstrong,brian-armstrong-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Mark_Cuban.png,Mark Cuban,mark-cuban-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Charlie_Munger.png,Charlie Munger,charlie-munger-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Steve_Jobs.png,Steve Jobs,steve-jobs-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Jeff_Bezos.png,Jeff Bezos,jeff-bezos-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Jack_Dorsey.png,Jack Dorsey,jack-dorsey-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Peter_Thiel.png,Peter Thiel,peter-thiel-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Tobi_L%C3%BCtke.png,Tobi Lütke,tobi-lutke-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Dustin_Moskovitz.png,Dustin Moskovitz,dustin-moskovitz-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Ron_Conway.png,Ron Conway,ron-conway-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Larry_Ellison.png,Larry Ellison,larry-ellison-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Eric_Schmidt.png,Eric Schmidt,eric-schmidt-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Marc_Benioff.png,Marc Benioff,marc-benioff-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Drew_Houston.png,Drew Houston,drew-houston-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Daniel_Ek.png,Daniel Ek,daniel-ek-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Chris_Sacca.png,Chris Sacca,chris-sacca-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Larry_Page.png,Larry Page,larry-page-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Howard_Marks.png,Howard Marks,howard-marks-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Reid_Hoffman.png,Reid Hoffman,reid-hoffman-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Kishore_Biyani.png,Kishore Biyani,kishore-biyani-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Kevin_Systrom.png,Kevin Systrom,kevin-systrom-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Michael_Bloomberg.png,Michael Bloomberg,michael-bloomberg-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Vlad_Tenev.png,Vlad Tenev,vlad-tenev-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Brian_Chesky.png,Brian Chesky,brian-chesky-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Reed_Hastings.png,Reed Hastings,reed-hastings-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Charles_Koch.png,Charles Koch,charles-koch-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Evan_Spiegel.png,Evan Spiegel,evan-spiegel-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Travis_Kalanick.png,Travis Kalanick,travis-kalanick-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Mukesh_Ambani.png,Mukesh Ambani,mukesh-ambani-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Craig_Newmark.png,Craig Newmark,craig-newmark-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Ben_Silbermann.png,Ben Silbermann,ben-silbermann-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Howard_Schultz.png,Howard Schultz,howard-schultz-books,,,
billionaire,https://learn-awesome.github.io/assets/people/Sergey_Brin.png,Sergey Brin,sergey-brin-books,,,
billionaire,https://learn-awesome.github.io/assets/people/John_Arnold.png,John Arnold,john-arnold-books,,,
chef,https://learn-awesome.github.io/assets/people/Anthony_Bourdain.png,Anthony Bourdain,anthony-bourdain-books,,,
chef,https://learn-awesome.github.io/assets/people/Samin_Nosrat.png,Samin Nosrat,samin-nosrat-books,,,
chef,https://learn-awesome.github.io/assets/people/Eric_Ripert.png,Eric Ripert,eric-ripert-books,,,
chef,https://learn-awesome.github.io/assets/people/Sam_Kass.png,Sam Kass,sam-kass-books,,,
chef,https://learn-awesome.github.io/assets/people/Nick_Kokonas.png,Nick Kokonas,nick-kokonas-books,,,
chef,https://learn-awesome.github.io/assets/people/Chris_Young.png,Chris Young,chris-young-books,,,
chef,https://learn-awesome.github.io/assets/people/Andrew_Zimmern.png,Andrew Zimmern,andrew-zimmern-books,,,
chef,https://learn-awesome.github.io/assets/people/Joshua_Skenes.png,Joshua Skenes,joshua-skenes-books,,,
comedian,https://learn-awesome.github.io/assets/people/Joe_Rogan.png,Joe Rogan,joe-rogan-books,,,
comedian,https://learn-awesome.github.io/assets/people/Ellen_DeGeneres.png,Ellen DeGeneres,ellen-degeneres-books,,,
comedian,https://learn-awesome.github.io/assets/people/Chelsea_Handler.png,Chelsea Handler,chelsea-handler-books,,,
